#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10633E+04    0.34254E+01    0.12625E-02    0.34254E+01    0.51190E-01   -0.64930E-05    0.12625E-02   -0.64930E-05    0.84876E-08
     3    0.10015E+04    0.42615E+01    0.89551E-03    0.42615E+01    0.84717E-01   -0.56413E-05    0.89551E-03   -0.56413E-05    0.51562E-08
     4    0.94041E+03    0.43814E+01    0.67906E-03    0.43814E+01    0.96857E-01   -0.44389E-05    0.67906E-03   -0.44389E-05    0.35604E-08
     5    0.89247E+03    0.40740E+01    0.53717E-03    0.40740E+01    0.87677E-01   -0.32382E-05    0.53717E-03   -0.32382E-05    0.26431E-08
     6    0.85733E+03    0.35628E+01    0.43772E-03    0.35628E+01    0.66323E-01   -0.21647E-05    0.43772E-03   -0.21647E-05    0.20557E-08
     7    0.83287E+03    0.29898E+01    0.36485E-03    0.29898E+01    0.43268E-01   -0.12753E-05    0.36485E-03   -0.12753E-05    0.16524E-08
     8    0.81646E+03    0.24422E+01    0.30923E-03    0.24422E+01    0.25397E-01   -0.59453E-06    0.30923E-03   -0.59453E-06    0.13613E-08
     9    0.80629E+03    0.19652E+01    0.26535E-03    0.19652E+01    0.14780E-01   -0.12251E-06    0.26535E-03   -0.12251E-06    0.11431E-08
    10    0.80100E+03    0.15843E+01    0.23008E-03    0.15843E+01    0.10047E-01    0.16471E-06    0.23008E-03    0.16471E-06    0.97460E-09
    11    0.79922E+03    0.13099E+01    0.20161E-03    0.13099E+01    0.85377E-02    0.30642E-06    0.20161E-03    0.30642E-06    0.84162E-09
    12    0.80111E+03    0.11435E+01    0.17842E-03    0.11435E+01    0.80461E-02    0.34091E-06    0.17842E-03    0.34091E-06    0.73424E-09
    13    0.80493E+03    0.10653E+01    0.15931E-03    0.10653E+01    0.73953E-02    0.29858E-06    0.15931E-03    0.29858E-06    0.64646E-09
    14    0.80979E+03    0.10502E+01    0.14326E-03    0.10502E+01    0.65205E-02    0.20863E-06    0.14326E-03    0.20863E-06    0.57346E-09
    15    0.81600E+03    0.10800E+01    0.12953E-03    0.10800E+01    0.57213E-02    0.10275E-06    0.12953E-03    0.10275E-06    0.51216E-09
    16    0.82400E+03    0.11388E+01    0.11759E-03    0.11388E+01    0.52849E-02    0.90306E-08    0.11759E-03    0.90306E-08    0.46007E-09
    17    0.83367E+03    0.12109E+01    0.10717E-03    0.12109E+01    0.53058E-02   -0.61559E-07    0.10717E-03   -0.61559E-07    0.41548E-09
    18    0.84406E+03    0.12833E+01    0.98121E-04    0.12833E+01    0.56153E-02   -0.10465E-06    0.98121E-04   -0.10465E-06    0.37696E-09
    19    0.85601E+03    0.13488E+01    0.90199E-04    0.13488E+01    0.60333E-02   -0.12529E-06    0.90199E-04   -0.12529E-06    0.34346E-09
    20    0.86787E+03    0.14008E+01    0.83173E-04    0.14008E+01    0.64671E-02   -0.12958E-06    0.83173E-04   -0.12958E-06    0.31409E-09
    21    0.87998E+03    0.14432E+01    0.76895E-04    0.14432E+01    0.69165E-02   -0.11858E-06    0.76895E-04   -0.11858E-06    0.28822E-09
    22    0.89262E+03    0.14811E+01    0.71252E-04    0.14811E+01    0.74888E-02   -0.93709E-07    0.71252E-04   -0.93709E-07    0.26532E-09
    23    0.90560E+03    0.15162E+01    0.66176E-04    0.15162E+01    0.82691E-02   -0.63022E-07    0.66176E-04   -0.63022E-07    0.24496E-09
    24    0.91900E+03    0.15502E+01    0.61613E-04    0.15502E+01    0.92928E-02   -0.35336E-07    0.61613E-04   -0.35336E-07    0.22675E-09
    25    0.93274E+03    0.15854E+01    0.57504E-04    0.15854E+01    0.10589E-01   -0.15919E-07    0.57504E-04   -0.15919E-07    0.21042E-09
    26    0.94664E+03    0.16252E+01    0.53790E-04    0.16252E+01    0.12138E-01   -0.75228E-08    0.53790E-04   -0.75228E-08    0.19571E-09
    27    0.96094E+03    0.16678E+01    0.50416E-04    0.16678E+01    0.13887E-01   -0.63738E-08    0.50416E-04   -0.63738E-08    0.18242E-09
    28    0.97549E+03    0.17115E+01    0.47335E-04    0.17115E+01    0.15813E-01   -0.79515E-08    0.47335E-04   -0.79515E-08    0.17037E-09
    29    0.99033E+03    0.17550E+01    0.44525E-04    0.17550E+01    0.17923E-01   -0.11265E-07    0.44525E-04   -0.11265E-07    0.15941E-09
    30    0.10054E+04    0.17953E+01    0.41968E-04    0.17953E+01    0.20231E-01   -0.16271E-07    0.41968E-04   -0.16271E-07    0.14940E-09
    31    0.10205E+04    0.18299E+01    0.39627E-04    0.18299E+01    0.22726E-01   -0.23198E-07    0.39627E-04   -0.23198E-07    0.14025E-09
    32    0.10360E+04    0.18560E+01    0.37469E-04    0.18560E+01    0.25384E-01   -0.31712E-07    0.37469E-04   -0.31712E-07    0.13186E-09
    33    0.10518E+04    0.18705E+01    0.35468E-04    0.18705E+01    0.28208E-01   -0.38982E-07    0.35468E-04   -0.38982E-07    0.12416E-09
    34    0.10678E+04    0.18721E+01    0.33603E-04    0.18721E+01    0.31217E-01   -0.42097E-07    0.33603E-04   -0.42097E-07    0.11706E-09
    35    0.10840E+04    0.18640E+01    0.31862E-04    0.18640E+01    0.34423E-01   -0.40335E-07    0.31862E-04   -0.40335E-07    0.11052E-09
    36    0.11002E+04    0.18483E+01    0.30238E-04    0.18483E+01    0.37844E-01   -0.34182E-07    0.30238E-04   -0.34182E-07    0.10446E-09
    37    0.11165E+04    0.18211E+01    0.28735E-04    0.18211E+01    0.41480E-01   -0.26760E-07    0.28735E-04   -0.26760E-07    0.98861E-10
    38    0.11332E+04    0.17804E+01    0.27354E-04    0.17804E+01    0.45337E-01   -0.21070E-07    0.27354E-04   -0.21070E-07    0.93662E-10
    39    0.11503E+04    0.17288E+01    0.26079E-04    0.17288E+01    0.49429E-01   -0.16988E-07    0.26079E-04   -0.16988E-07    0.88831E-10
    40    0.11675E+04    0.16695E+01    0.24889E-04    0.16695E+01    0.53775E-01   -0.13611E-07    0.24889E-04   -0.13611E-07    0.84334E-10
    41    0.11849E+04    0.16049E+01    0.23768E-04    0.16049E+01    0.58397E-01   -0.10248E-07    0.23768E-04   -0.10248E-07    0.80138E-10
    42    0.12022E+04    0.15333E+01    0.22710E-04    0.15333E+01    0.63296E-01   -0.70667E-08    0.22710E-04   -0.70667E-08    0.76220E-10
    43    0.12197E+04    0.14519E+01    0.21715E-04    0.14519E+01    0.68470E-01   -0.44461E-08    0.21715E-04   -0.44461E-08    0.72559E-10
    44    0.12372E+04    0.13589E+01    0.20778E-04    0.13589E+01    0.73903E-01   -0.27669E-08    0.20778E-04   -0.27669E-08    0.69134E-10
    45    0.12550E+04    0.12526E+01    0.19899E-04    0.12526E+01    0.79586E-01   -0.24093E-08    0.19899E-04   -0.24093E-08    0.65925E-10
    46    0.12731E+04    0.11299E+01    0.19075E-04    0.11299E+01    0.85516E-01   -0.35953E-08    0.19075E-04   -0.35953E-08    0.62911E-10
    47    0.12913E+04    0.99246E+00    0.18301E-04    0.99246E+00    0.91695E-01   -0.59121E-08    0.18301E-04   -0.59121E-08    0.60079E-10
    48    0.13096E+04    0.84561E+00    0.17571E-04    0.84561E+00    0.98130E-01   -0.87888E-08    0.17571E-04   -0.87888E-08    0.57416E-10
    49    0.13280E+04    0.69419E+00    0.16879E-04    0.69419E+00    0.10481E+00   -0.11654E-07    0.16879E-04   -0.11654E-07    0.54910E-10
    50    0.13468E+04    0.53623E+00    0.16220E-04    0.53623E+00    0.11170E+00   -0.13938E-07    0.16220E-04   -0.13938E-07    0.52549E-10
    51    0.13658E+04    0.36798E+00    0.15589E-04    0.36798E+00    0.11879E+00   -0.15206E-07    0.15589E-04   -0.15206E-07    0.50321E-10
    52    0.13851E+04    0.18428E+00    0.14986E-04    0.18428E+00    0.12616E+00   -0.15579E-07    0.14986E-04   -0.15579E-07    0.48218E-10
    53    0.14045E+04   -0.18561E-01    0.14414E-04   -0.18561E-01    0.13395E+00   -0.15314E-07    0.14414E-04   -0.15314E-07    0.46230E-10
    54    0.14237E+04   -0.23627E+00    0.13872E-04   -0.23627E+00    0.14216E+00   -0.14669E-07    0.13872E-04   -0.14669E-07    0.44351E-10
    55    0.14431E+04   -0.46444E+00    0.13363E-04   -0.46444E+00    0.15075E+00   -0.13903E-07    0.13363E-04   -0.13903E-07    0.42573E-10
    56    0.14629E+04   -0.70478E+00    0.12886E-04   -0.70478E+00    0.15960E+00   -0.13221E-07    0.12886E-04   -0.13221E-07    0.40887E-10
    57    0.14829E+04   -0.95701E+00    0.12440E-04   -0.95701E+00    0.16858E+00   -0.12618E-07    0.12440E-04   -0.12618E-07    0.39288E-10
    58    0.15032E+04   -0.12216E+01    0.12019E-04   -0.12216E+01    0.17771E+00   -0.12040E-07    0.12019E-04   -0.12040E-07    0.37771E-10
    59    0.15236E+04   -0.14992E+01    0.11621E-04   -0.14992E+01    0.18703E+00   -0.11429E-07    0.11621E-04   -0.11429E-07    0.36331E-10
    60    0.15442E+04   -0.17887E+01    0.11242E-04   -0.17887E+01    0.19659E+00   -0.10731E-07    0.11242E-04   -0.10731E-07    0.34962E-10
    61    0.15652E+04   -0.20892E+01    0.10878E-04   -0.20892E+01    0.20650E+00   -0.99107E-08    0.10878E-04   -0.99107E-08    0.33660E-10
    62    0.15861E+04   -0.24018E+01    0.10528E-04   -0.24018E+01    0.21673E+00   -0.90283E-08    0.10528E-04   -0.90283E-08    0.32421E-10
    63    0.16072E+04   -0.27279E+01    0.10191E-04   -0.27279E+01    0.22725E+00   -0.81653E-08    0.10191E-04   -0.81653E-08    0.31241E-10
    64    0.16286E+04   -0.30688E+01    0.98666E-05   -0.30688E+01    0.23806E+00   -0.74037E-08    0.98666E-05   -0.74037E-08    0.30117E-10
    65    0.16500E+04   -0.34256E+01    0.95527E-05   -0.34256E+01    0.24913E+00   -0.68253E-08    0.95527E-05   -0.68253E-08    0.29045E-10
    66    0.16717E+04   -0.37966E+01    0.92490E-05   -0.37966E+01    0.26040E+00   -0.64983E-08    0.92490E-05   -0.64983E-08    0.28023E-10
    67    0.16936E+04   -0.41789E+01    0.89562E-05   -0.41789E+01    0.27187E+00   -0.64359E-08    0.89562E-05   -0.64359E-08    0.27048E-10
    68    0.17159E+04   -0.45705E+01    0.86751E-05   -0.45705E+01    0.28357E+00   -0.66379E-08    0.86751E-05   -0.66379E-08    0.26117E-10
    69    0.17384E+04   -0.49695E+01    0.84065E-05   -0.49695E+01    0.29548E+00   -0.71039E-08    0.84065E-05   -0.71039E-08    0.25227E-10
    70    0.17612E+04   -0.53773E+01    0.81513E-05   -0.53773E+01    0.30764E+00   -0.78334E-08    0.81513E-05   -0.78334E-08    0.24377E-10
    71    0.17841E+04   -0.57961E+01    0.79099E-05   -0.57961E+01    0.32002E+00   -0.87955E-08    0.79099E-05   -0.87955E-08    0.23564E-10
    72    0.18071E+04   -0.62273E+01    0.76815E-05   -0.62273E+01    0.33262E+00   -0.98364E-08    0.76815E-05   -0.98364E-08    0.22786E-10
    73    0.18304E+04   -0.66716E+01    0.74646E-05   -0.66716E+01    0.34539E+00   -0.10772E-07    0.74646E-05   -0.10772E-07    0.22041E-10
    74    0.18538E+04   -0.71281E+01    0.72580E-05   -0.71281E+01    0.35832E+00   -0.11418E-07    0.72580E-05   -0.11418E-07    0.21328E-10
    75    0.18775E+04   -0.75955E+01    0.70601E-05   -0.75955E+01    0.37142E+00   -0.11589E-07    0.70601E-05   -0.11589E-07    0.20644E-10
    76    0.19015E+04   -0.80731E+01    0.68700E-05   -0.80731E+01    0.38469E+00   -0.11167E-07    0.68700E-05   -0.11167E-07    0.19988E-10
    77    0.19258E+04   -0.85609E+01    0.66866E-05   -0.85609E+01    0.39813E+00   -0.10292E-07    0.66866E-05   -0.10292E-07    0.19359E-10
    78    0.19504E+04   -0.90603E+01    0.65095E-05   -0.90603E+01    0.41177E+00   -0.91704E-08    0.65095E-05   -0.91704E-08    0.18756E-10
    79    0.19753E+04   -0.95677E+01    0.63378E-05   -0.95677E+01    0.42553E+00   -0.80072E-08    0.63378E-05   -0.80072E-08    0.18176E-10
    80    0.20004E+04   -0.10085E+02    0.61711E-05   -0.10085E+02    0.43944E+00   -0.70084E-08    0.61711E-05   -0.70084E-08    0.17619E-10
    81    0.20256E+04   -0.10612E+02    0.60086E-05   -0.10612E+02    0.45343E+00   -0.63400E-08    0.60086E-05   -0.63400E-08    0.17085E-10
    82    0.20511E+04   -0.11148E+02    0.58507E-05   -0.11148E+02    0.46754E+00   -0.60089E-08    0.58507E-05   -0.60089E-08    0.16571E-10
    83    0.20768E+04   -0.11692E+02    0.56974E-05   -0.11692E+02    0.48173E+00   -0.59824E-08    0.56974E-05   -0.59824E-08    0.16076E-10
    84    0.21028E+04   -0.12243E+02    0.55492E-05   -0.12243E+02    0.49601E+00   -0.62277E-08    0.55492E-05   -0.62277E-08    0.15601E-10
    85    0.21288E+04   -0.12802E+02    0.54063E-05   -0.12802E+02    0.51034E+00   -0.67119E-08    0.54063E-05   -0.67119E-08    0.15144E-10
    86    0.21551E+04   -0.13367E+02    0.52689E-05   -0.13367E+02    0.52475E+00   -0.73950E-08    0.52689E-05   -0.73950E-08    0.14704E-10
    87    0.21817E+04   -0.13938E+02    0.51366E-05   -0.13938E+02    0.53919E+00   -0.82068E-08    0.51366E-05   -0.82068E-08    0.14281E-10
    88    0.22084E+04   -0.14515E+02    0.50094E-05   -0.14515E+02    0.55369E+00   -0.90702E-08    0.50094E-05   -0.90702E-08    0.13873E-10
    89    0.22354E+04   -0.15099E+02    0.48867E-05   -0.15099E+02    0.56824E+00   -0.99077E-08    0.48867E-05   -0.99077E-08    0.13480E-10
    90    0.22626E+04   -0.15688E+02    0.47683E-05   -0.15688E+02    0.58278E+00   -0.10642E-07    0.47683E-05   -0.10642E-07    0.13100E-10
    91    0.22899E+04   -0.16282E+02    0.46539E-05   -0.16282E+02    0.59733E+00   -0.11211E-07    0.46539E-05   -0.11211E-07    0.12734E-10
    92    0.23175E+04   -0.16881E+02    0.45434E-05   -0.16881E+02    0.61186E+00   -0.11612E-07    0.45434E-05   -0.11612E-07    0.12380E-10
    93    0.23454E+04   -0.17485E+02    0.44365E-05   -0.17485E+02    0.62637E+00   -0.11859E-07    0.44365E-05   -0.11859E-07    0.12039E-10
    94    0.23734E+04   -0.18092E+02    0.43333E-05   -0.18092E+02    0.64082E+00   -0.11965E-07    0.43333E-05   -0.11965E-07    0.11709E-10
    95    0.24016E+04   -0.18703E+02    0.42335E-05   -0.18703E+02    0.65522E+00   -0.11942E-07    0.42335E-05   -0.11942E-07    0.11391E-10
    96    0.24298E+04   -0.19318E+02    0.41371E-05   -0.19318E+02    0.66954E+00   -0.11804E-07    0.41371E-05   -0.11804E-07    0.11084E-10
    97    0.24584E+04   -0.19935E+02    0.40439E-05   -0.19935E+02    0.68378E+00   -0.11563E-07    0.40439E-05   -0.11563E-07    0.10787E-10
    98    0.24873E+04   -0.20553E+02    0.39537E-05   -0.20553E+02    0.69792E+00   -0.11234E-07    0.39537E-05   -0.11234E-07    0.10501E-10
    99    0.25162E+04   -0.21175E+02    0.38666E-05   -0.21175E+02    0.71194E+00   -0.10829E-07    0.38666E-05   -0.10829E-07    0.10225E-10
   100    0.25454E+04   -0.21795E+02    0.37823E-05   -0.21795E+02    0.72583E+00   -0.10360E-07    0.37823E-05   -0.10360E-07    0.99583E-11
   101    0.25748E+04   -0.22418E+02    0.37007E-05   -0.22418E+02    0.73965E+00   -0.98420E-08    0.37007E-05   -0.98420E-08    0.97010E-11
   102    0.26046E+04   -0.23041E+02    0.36216E-05   -0.23041E+02    0.75326E+00   -0.92869E-08    0.36216E-05   -0.92869E-08    0.94526E-11
   103    0.26344E+04   -0.23665E+02    0.35451E-05   -0.23665E+02    0.76673E+00   -0.87079E-08    0.35451E-05   -0.87079E-08    0.92126E-11
   104    0.26644E+04   -0.24286E+02    0.34709E-05   -0.24286E+02    0.78006E+00   -0.81182E-08    0.34709E-05   -0.81182E-08    0.89808E-11
   105    0.26945E+04   -0.24907E+02    0.33989E-05   -0.24907E+02    0.79318E+00   -0.75308E-08    0.33989E-05   -0.75308E-08    0.87566E-11
   106    0.27249E+04   -0.25527E+02    0.33290E-05   -0.25527E+02    0.80616E+00   -0.69588E-08    0.33290E-05   -0.69588E-08    0.85399E-11
   107    0.27552E+04   -0.26144E+02    0.32611E-05   -0.26144E+02    0.81885E+00   -0.64153E-08    0.32611E-05   -0.64153E-08    0.83301E-11
   108    0.27858E+04   -0.26759E+02    0.31950E-05   -0.26759E+02    0.83134E+00   -0.59133E-08    0.31950E-05   -0.59133E-08    0.81269E-11
   109    0.28166E+04   -0.27371E+02    0.31307E-05   -0.27371E+02    0.84354E+00   -0.54658E-08    0.31307E-05   -0.54658E-08    0.79299E-11
   110    0.28475E+04   -0.27978E+02    0.30679E-05   -0.27978E+02    0.85546E+00   -0.50861E-08    0.30679E-05   -0.50861E-08    0.77388E-11
   111    0.28785E+04   -0.28582E+02    0.30066E-05   -0.28582E+02    0.86717E+00   -0.47838E-08    0.30066E-05   -0.47838E-08    0.75533E-11
   112    0.29097E+04   -0.29181E+02    0.29467E-05   -0.29181E+02    0.87861E+00   -0.45565E-08    0.29467E-05   -0.45565E-08    0.73731E-11
   113    0.29411E+04   -0.29776E+02    0.28883E-05   -0.29776E+02    0.88976E+00   -0.43983E-08    0.28883E-05   -0.43983E-08    0.71981E-11
   114    0.29726E+04   -0.30364E+02    0.28313E-05   -0.30364E+02    0.90056E+00   -0.43032E-08    0.28313E-05   -0.43032E-08    0.70282E-11
   115    0.30043E+04   -0.30945E+02    0.27756E-05   -0.30945E+02    0.91115E+00   -0.42657E-08    0.27756E-05   -0.42657E-08    0.68632E-11
   116    0.30360E+04   -0.31520E+02    0.27213E-05   -0.31520E+02    0.92131E+00   -0.42797E-08    0.27213E-05   -0.42797E-08    0.67031E-11
   117    0.30680E+04   -0.32087E+02    0.26683E-05   -0.32087E+02    0.93112E+00   -0.43395E-08    0.26683E-05   -0.43395E-08    0.65476E-11
   118    0.31001E+04   -0.32647E+02    0.26165E-05   -0.32647E+02    0.94073E+00   -0.44393E-08    0.26165E-05   -0.44393E-08    0.63967E-11
   119    0.31322E+04   -0.33198E+02    0.25661E-05   -0.33198E+02    0.94998E+00   -0.45733E-08    0.25661E-05   -0.45733E-08    0.62503E-11
   120    0.31645E+04   -0.33740E+02    0.25169E-05   -0.33740E+02    0.95873E+00   -0.47356E-08    0.25169E-05   -0.47356E-08    0.61080E-11
   121    0.31968E+04   -0.34272E+02    0.24689E-05   -0.34272E+02    0.96728E+00   -0.49204E-08    0.24689E-05   -0.49204E-08    0.59700E-11
   122    0.32291E+04   -0.34795E+02    0.24221E-05   -0.34795E+02    0.97532E+00   -0.51219E-08    0.24221E-05   -0.51219E-08    0.58359E-11
   123    0.32615E+04   -0.35307E+02    0.23765E-05   -0.35307E+02    0.98294E+00   -0.53343E-08    0.23765E-05   -0.53343E-08    0.57058E-11
   124    0.32940E+04   -0.35806E+02    0.23320E-05   -0.35806E+02    0.99021E+00   -0.55517E-08    0.23320E-05   -0.55517E-08    0.55793E-11
   125    0.33265E+04   -0.36295E+02    0.22887E-05   -0.36295E+02    0.99705E+00   -0.57684E-08    0.22887E-05   -0.57684E-08    0.54565E-11
   126    0.33590E+04   -0.36772E+02    0.22464E-05   -0.36772E+02    0.10035E+01   -0.59785E-08    0.22464E-05   -0.59785E-08    0.53372E-11
   127    0.33916E+04   -0.37237E+02    0.22053E-05   -0.37237E+02    0.10095E+01   -0.61762E-08    0.22053E-05   -0.61762E-08    0.52212E-11
   128    0.34241E+04   -0.37689E+02    0.21651E-05   -0.37689E+02    0.10152E+01   -0.63556E-08    0.21651E-05   -0.63556E-08    0.51084E-11
   129    0.34567E+04   -0.38128E+02    0.21260E-05   -0.38128E+02    0.10203E+01   -0.65110E-08    0.21260E-05   -0.65110E-08    0.49987E-11
   130    0.34892E+04   -0.38552E+02    0.20879E-05   -0.38552E+02    0.10250E+01   -0.66366E-08    0.20879E-05   -0.66366E-08    0.48919E-11
   131    0.35218E+04   -0.38962E+02    0.20508E-05   -0.38962E+02    0.10292E+01   -0.67279E-08    0.20508E-05   -0.67279E-08    0.47880E-11
   132    0.35544E+04   -0.39357E+02    0.20146E-05   -0.39357E+02    0.10330E+01   -0.67858E-08    0.20146E-05   -0.67858E-08    0.46867E-11
   133    0.35870E+04   -0.39738E+02    0.19793E-05   -0.39738E+02    0.10364E+01   -0.68128E-08    0.19793E-05   -0.68128E-08    0.45882E-11
   134    0.36195E+04   -0.40102E+02    0.19449E-05   -0.40102E+02    0.10394E+01   -0.68113E-08    0.19449E-05   -0.68113E-08    0.44922E-11
   135    0.36520E+04   -0.40450E+02    0.19114E-05   -0.40450E+02    0.10418E+01   -0.67836E-08    0.19114E-05   -0.67836E-08    0.43988E-11
   136    0.36844E+04   -0.40779E+02    0.18787E-05   -0.40779E+02    0.10438E+01   -0.67321E-08    0.18787E-05   -0.67321E-08    0.43079E-11
   137    0.37168E+04   -0.41092E+02    0.18468E-05   -0.41092E+02    0.10453E+01   -0.66591E-08    0.18468E-05   -0.66591E-08    0.42194E-11
   138    0.37491E+04   -0.41387E+02    0.18157E-05   -0.41387E+02    0.10463E+01   -0.65671E-08    0.18157E-05   -0.65671E-08    0.41332E-11
   139    0.37811E+04   -0.41664E+02    0.17854E-05   -0.41664E+02    0.10470E+01   -0.64584E-08    0.17854E-05   -0.64584E-08    0.40493E-11
   140    0.38133E+04   -0.41922E+02    0.17558E-05   -0.41922E+02    0.10471E+01   -0.63354E-08    0.17558E-05   -0.63354E-08    0.39675E-11
   141    0.38452E+04   -0.42161E+02    0.17268E-05   -0.42161E+02    0.10467E+01   -0.62005E-08    0.17268E-05   -0.62005E-08    0.38880E-11
   142    0.38771E+04   -0.42380E+02    0.16986E-05   -0.42380E+02    0.10459E+01   -0.60561E-08    0.16986E-05   -0.60561E-08    0.38105E-11
   143    0.39090E+04   -0.42581E+02    0.16710E-05   -0.42581E+02    0.10446E+01   -0.59044E-08    0.16710E-05   -0.59044E-08    0.37349E-11
   144    0.39407E+04   -0.42761E+02    0.16440E-05   -0.42761E+02    0.10429E+01   -0.57479E-08    0.16440E-05   -0.57479E-08    0.36614E-11
   145    0.39722E+04   -0.42921E+02    0.16175E-05   -0.42921E+02    0.10408E+01   -0.55891E-08    0.16175E-05   -0.55891E-08    0.35897E-11
   146    0.40038E+04   -0.43060E+02    0.15917E-05   -0.43060E+02    0.10381E+01   -0.54301E-08    0.15917E-05   -0.54301E-08    0.35198E-11
   147    0.40350E+04   -0.43178E+02    0.15664E-05   -0.43178E+02    0.10351E+01   -0.52735E-08    0.15664E-05   -0.52735E-08    0.34516E-11
   148    0.40661E+04   -0.43275E+02    0.15415E-05   -0.43275E+02    0.10316E+01   -0.51216E-08    0.15415E-05   -0.51216E-08    0.33851E-11
   149    0.40971E+04   -0.43350E+02    0.15172E-05   -0.43350E+02    0.10277E+01   -0.49767E-08    0.15172E-05   -0.49767E-08    0.33202E-11
   150    0.41279E+04   -0.43401E+02    0.14933E-05   -0.43401E+02    0.10234E+01   -0.48413E-08    0.14933E-05   -0.48413E-08    0.32568E-11
   151    0.41585E+04   -0.43431E+02    0.14698E-05   -0.43431E+02    0.10187E+01   -0.47172E-08    0.14698E-05   -0.47172E-08    0.31949E-11
   152    0.41889E+04   -0.43438E+02    0.14468E-05   -0.43438E+02    0.10135E+01   -0.46043E-08    0.14468E-05   -0.46043E-08    0.31344E-11
   153    0.42191E+04   -0.43421E+02    0.14241E-05   -0.43421E+02    0.10079E+01   -0.45019E-08    0.14241E-05   -0.45019E-08    0.30754E-11
   154    0.42491E+04   -0.43381E+02    0.14019E-05   -0.43381E+02    0.10020E+01   -0.44093E-08    0.14019E-05   -0.44093E-08    0.30177E-11
   155    0.42789E+04   -0.43318E+02    0.13800E-05   -0.43318E+02    0.99573E+00   -0.43260E-08    0.13800E-05   -0.43260E-08    0.29614E-11
   156    0.43084E+04   -0.43232E+02    0.13586E-05   -0.43232E+02    0.98911E+00   -0.42512E-08    0.13586E-05   -0.42512E-08    0.29064E-11
   157    0.43377E+04   -0.43120E+02    0.13375E-05   -0.43120E+02    0.98213E+00   -0.41842E-08    0.13375E-05   -0.41842E-08    0.28527E-11
   158    0.43668E+04   -0.42985E+02    0.13169E-05   -0.42985E+02    0.97487E+00   -0.41246E-08    0.13169E-05   -0.41246E-08    0.28002E-11
   159    0.43957E+04   -0.42826E+02    0.12966E-05   -0.42826E+02    0.96718E+00   -0.40715E-08    0.12966E-05   -0.40715E-08    0.27490E-11
   160    0.44243E+04   -0.42641E+02    0.12766E-05   -0.42641E+02    0.95920E+00   -0.40244E-08    0.12766E-05   -0.40244E-08    0.26990E-11
   161    0.44527E+04   -0.42432E+02    0.12571E-05   -0.42432E+02    0.95101E+00   -0.39825E-08    0.12571E-05   -0.39825E-08    0.26502E-11
   162    0.44808E+04   -0.42198E+02    0.12379E-05   -0.42198E+02    0.94247E+00   -0.39453E-08    0.12379E-05   -0.39453E-08    0.26025E-11
   163    0.45088E+04   -0.41940E+02    0.12191E-05   -0.41940E+02    0.93363E+00   -0.39120E-08    0.12191E-05   -0.39120E-08    0.25559E-11
   164    0.45363E+04   -0.41657E+02    0.12006E-05   -0.41657E+02    0.92458E+00   -0.38821E-08    0.12006E-05   -0.38821E-08    0.25104E-11
   165    0.45637E+04   -0.41348E+02    0.11824E-05   -0.41348E+02    0.91524E+00   -0.38548E-08    0.11824E-05   -0.38548E-08    0.24660E-11
   166    0.45908E+04   -0.41014E+02    0.11646E-05   -0.41014E+02    0.90576E+00   -0.38295E-08    0.11646E-05   -0.38295E-08    0.24226E-11
   167    0.46177E+04   -0.40655E+02    0.11472E-05   -0.40655E+02    0.89592E+00   -0.38056E-08    0.11472E-05   -0.38056E-08    0.23802E-11
   168    0.46442E+04   -0.40271E+02    0.11300E-05   -0.40271E+02    0.88608E+00   -0.37824E-08    0.11300E-05   -0.37824E-08    0.23387E-11
   169    0.46704E+04   -0.39860E+02    0.11132E-05   -0.39860E+02    0.87595E+00   -0.37592E-08    0.11132E-05   -0.37592E-08    0.22982E-11
   170    0.46962E+04   -0.39424E+02    0.10968E-05   -0.39424E+02    0.86574E+00   -0.37355E-08    0.10968E-05   -0.37355E-08    0.22586E-11
   171    0.47217E+04   -0.38961E+02    0.10806E-05   -0.38961E+02    0.85547E+00   -0.37104E-08    0.10806E-05   -0.37104E-08    0.22199E-11
   172    0.47468E+04   -0.38472E+02    0.10647E-05   -0.38472E+02    0.84505E+00   -0.36835E-08    0.10647E-05   -0.36835E-08    0.21821E-11
   173    0.47714E+04   -0.37958E+02    0.10492E-05   -0.37958E+02    0.83448E+00   -0.36540E-08    0.10492E-05   -0.36540E-08    0.21451E-11
   174    0.47958E+04   -0.37418E+02    0.10339E-05   -0.37418E+02    0.82405E+00   -0.36213E-08    0.10339E-05   -0.36213E-08    0.21088E-11
   175    0.48197E+04   -0.36852E+02    0.10190E-05   -0.36852E+02    0.81348E+00   -0.35847E-08    0.10190E-05   -0.35847E-08    0.20733E-11
   176    0.48432E+04   -0.36259E+02    0.10043E-05   -0.36259E+02    0.80298E+00   -0.35437E-08    0.10043E-05   -0.35437E-08    0.20386E-11
   177    0.48663E+04   -0.35641E+02    0.98990E-06   -0.35641E+02    0.79247E+00   -0.34984E-08    0.98990E-06   -0.34984E-08    0.20046E-11
   178    0.48890E+04   -0.34997E+02    0.97579E-06   -0.34997E+02    0.78219E+00   -0.34490E-08    0.97579E-06   -0.34490E-08    0.19713E-11
   179    0.49112E+04   -0.34326E+02    0.96195E-06   -0.34326E+02    0.77181E+00   -0.33957E-08    0.96195E-06   -0.33957E-08    0.19387E-11
