#    L    TT             EE             BB             TE          
    91    0.22921E+04    0.59920E+00    0.22586E-02   -0.16277E+02
    92    0.23197E+04    0.61376E+00    0.23089E-02   -0.16876E+02
    93    0.23476E+04    0.62830E+00    0.23598E-02   -0.17478E+02
    94    0.23756E+04    0.64279E+00    0.24113E-02   -0.18085E+02
    95    0.24038E+04    0.65721E+00    0.24633E-02   -0.18695E+02
    96    0.24320E+04    0.67156E+00    0.25160E-02   -0.19309E+02
    97    0.24607E+04    0.68583E+00    0.25693E-02   -0.19925E+02
    98    0.24896E+04    0.70001E+00    0.26233E-02   -0.20542E+02
    99    0.25185E+04    0.71406E+00    0.26778E-02   -0.21162E+02
   100    0.25477E+04    0.72798E+00    0.27330E-02   -0.21782E+02
   101    0.25771E+04    0.74183E+00    0.27887E-02   -0.22403E+02
   102    0.26069E+04    0.75547E+00    0.28451E-02   -0.23025E+02
   103    0.26367E+04    0.76897E+00    0.29022E-02   -0.23647E+02
   104    0.26667E+04    0.78233E+00    0.29598E-02   -0.24268E+02
   105    0.26969E+04    0.79548E+00    0.30182E-02   -0.24887E+02
   106    0.27272E+04    0.80850E+00    0.30771E-02   -0.25506E+02
   107    0.27575E+04    0.82123E+00    0.31367E-02   -0.26121E+02
   108    0.27882E+04    0.83375E+00    0.31969E-02   -0.26735E+02
   109    0.28190E+04    0.84598E+00    0.32578E-02   -0.27345E+02
   110    0.28498E+04    0.85794E+00    0.33194E-02   -0.27950E+02
   111    0.28809E+04    0.86969E+00    0.33815E-02   -0.28552E+02
   112    0.29120E+04    0.88116E+00    0.34444E-02   -0.29150E+02
   113    0.29434E+04    0.89235E+00    0.35079E-02   -0.29743E+02
   114    0.29749E+04    0.90319E+00    0.35721E-02   -0.30329E+02
   115    0.30066E+04    0.91382E+00    0.36370E-02   -0.30909E+02
   116    0.30383E+04    0.92402E+00    0.37025E-02   -0.31482E+02
   117    0.30702E+04    0.93387E+00    0.37687E-02   -0.32047E+02
   118    0.31024E+04    0.94352E+00    0.38357E-02   -0.32605E+02
   119    0.31345E+04    0.95282E+00    0.39033E-02   -0.33154E+02
   120    0.31667E+04    0.96161E+00    0.39715E-02   -0.33693E+02
   121    0.31990E+04    0.97021E+00    0.40405E-02   -0.34223E+02
   122    0.32313E+04    0.97830E+00    0.41102E-02   -0.34744E+02
   123    0.32637E+04    0.98597E+00    0.41806E-02   -0.35254E+02
   124    0.32961E+04    0.99329E+00    0.42518E-02   -0.35751E+02
   125    0.33286E+04    0.10002E+01    0.43236E-02   -0.36237E+02
   126    0.33611E+04    0.10067E+01    0.43962E-02   -0.36712E+02
   127    0.33936E+04    0.10128E+01    0.44695E-02   -0.37175E+02
   128    0.34261E+04    0.10185E+01    0.45435E-02   -0.37624E+02
   129    0.34586E+04    0.10237E+01    0.46183E-02   -0.38060E+02
   130    0.34912E+04    0.10284E+01    0.46938E-02   -0.38481E+02
   131    0.35237E+04    0.10327E+01    0.47701E-02   -0.38889E+02
   132    0.35563E+04    0.10366E+01    0.48471E-02   -0.39282E+02
   133    0.35888E+04    0.10400E+01    0.49249E-02   -0.39660E+02
   134    0.36213E+04    0.10431E+01    0.50035E-02   -0.40021E+02
   135    0.36537E+04    0.10456E+01    0.50829E-02   -0.40366E+02
   136    0.36861E+04    0.10476E+01    0.51630E-02   -0.40693E+02
   137    0.37184E+04    0.10492E+01    0.52440E-02   -0.41003E+02
   138    0.37506E+04    0.10503E+01    0.53258E-02   -0.41295E+02
   139    0.37827E+04    0.10511E+01    0.54083E-02   -0.41569E+02
   140    0.38147E+04    0.10513E+01    0.54917E-02   -0.41825E+02
   141    0.38466E+04    0.10510E+01    0.55759E-02   -0.42060E+02
   142    0.38785E+04    0.10503E+01    0.56610E-02   -0.42277E+02
   143    0.39103E+04    0.10491E+01    0.57468E-02   -0.42474E+02
   144    0.39419E+04    0.10475E+01    0.58335E-02   -0.42652E+02
   145    0.39733E+04    0.10455E+01    0.59211E-02   -0.42809E+02
   146    0.40049E+04    0.10429E+01    0.60095E-02   -0.42945E+02
   147    0.40360E+04    0.10400E+01    0.60988E-02   -0.43060E+02
   148    0.40670E+04    0.10367E+01    0.61890E-02   -0.43154E+02
   149    0.40980E+04    0.10328E+01    0.62800E-02   -0.43226E+02
   150    0.41287E+04    0.10287E+01    0.63719E-02   -0.43274E+02
   151    0.41592E+04    0.10241E+01    0.64647E-02   -0.43302E+02
   152    0.41895E+04    0.10190E+01    0.65584E-02   -0.43306E+02
   153    0.42197E+04    0.10136E+01    0.66530E-02   -0.43286E+02
   154    0.42496E+04    0.10079E+01    0.67485E-02   -0.43243E+02
   155    0.42793E+04    0.10017E+01    0.68449E-02   -0.43177E+02
   156    0.43086E+04    0.99527E+00    0.69422E-02   -0.43088E+02
   157    0.43379E+04    0.98845E+00    0.70404E-02   -0.42974E+02
   158    0.43669E+04    0.98136E+00    0.71395E-02   -0.42836E+02
   159    0.43957E+04    0.97384E+00    0.72395E-02   -0.42674E+02
   160    0.44242E+04    0.96604E+00    0.73405E-02   -0.42486E+02
   161    0.44525E+04    0.95804E+00    0.74424E-02   -0.42275E+02
   162    0.44805E+04    0.94968E+00    0.75452E-02   -0.42039E+02
   163    0.45084E+04    0.94103E+00    0.76489E-02   -0.41778E+02
   164    0.45358E+04    0.93218E+00    0.77536E-02   -0.41492E+02
   165    0.45631E+04    0.92305E+00    0.78591E-02   -0.41181E+02
   166    0.45901E+04    0.91378E+00    0.79656E-02   -0.40844E+02
   167    0.46169E+04    0.90415E+00    0.80731E-02   -0.40484E+02
   168    0.46432E+04    0.89454E+00    0.81814E-02   -0.40097E+02
   169    0.46693E+04    0.88463E+00    0.82907E-02   -0.39684E+02
   170    0.46951E+04    0.87466E+00    0.84009E-02   -0.39246E+02
   171    0.47204E+04    0.86463E+00    0.85120E-02   -0.38781E+02
   172    0.47454E+04    0.85445E+00    0.86240E-02   -0.38291E+02
   173    0.47699E+04    0.84413E+00    0.87369E-02   -0.37774E+02
   174    0.47941E+04    0.83397E+00    0.88507E-02   -0.37233E+02
   175    0.48180E+04    0.82366E+00    0.89654E-02   -0.36665E+02
   176    0.48413E+04    0.81343E+00    0.90810E-02   -0.36070E+02
   177    0.48643E+04    0.80320E+00    0.91975E-02   -0.35451E+02
   178    0.48868E+04    0.79320E+00    0.93149E-02   -0.34805E+02
   179    0.49089E+04    0.78312E+00    0.94332E-02   -0.34134E+02
   180    0.49307E+04    0.77318E+00    0.95523E-02   -0.33437E+02
   181    0.49520E+04    0.76339E+00    0.96723E-02   -0.32715E+02
   182    0.49729E+04    0.75381E+00    0.97932E-02   -0.31967E+02
   183    0.49932E+04    0.74438E+00    0.99149E-02   -0.31194E+02
   184    0.50132E+04    0.73515E+00    0.10037E-01   -0.30396E+02
   185    0.50327E+04    0.72629E+00    0.10161E-01   -0.29574E+02
   186    0.50515E+04    0.71764E+00    0.10285E-01   -0.28726E+02
   187    0.50701E+04    0.70935E+00    0.10410E-01   -0.27853E+02
   188    0.50882E+04    0.70139E+00    0.10536E-01   -0.26956E+02
   189    0.51057E+04    0.69382E+00    0.10663E-01   -0.26035E+02
   190    0.51231E+04    0.68666E+00    0.10790E-01   -0.25091E+02
   191    0.51397E+04    0.67995E+00    0.10918E-01   -0.24122E+02
   192    0.51558E+04    0.67371E+00    0.11047E-01   -0.23129E+02
   193    0.51715E+04    0.66797E+00    0.11177E-01   -0.22114E+02
   194    0.51867E+04    0.66277E+00    0.11308E-01   -0.21075E+02
   195    0.52014E+04    0.65814E+00    0.11439E-01   -0.20014E+02
   196    0.52155E+04    0.65411E+00    0.11571E-01   -0.18930E+02
   197    0.52292E+04    0.65074E+00    0.11704E-01   -0.17825E+02
   198    0.52424E+04    0.64804E+00    0.11837E-01   -0.16699E+02
   199    0.52551E+04    0.64604E+00    0.11971E-01   -0.15551E+02
   200    0.52673E+04    0.64477E+00    0.12106E-01   -0.14383E+02
   201    0.52790E+04    0.64429E+00    0.12242E-01   -0.13193E+02
   202    0.52901E+04    0.64461E+00    0.12378E-01   -0.11984E+02
   203    0.53007E+04    0.64578E+00    0.12515E-01   -0.10754E+02
   204    0.53107E+04    0.64783E+00    0.12653E-01   -0.95068E+01
   205    0.53201E+04    0.65079E+00    0.12791E-01   -0.82397E+01
   206    0.53290E+04    0.65471E+00    0.12930E-01   -0.69540E+01
   207    0.53373E+04    0.65960E+00    0.13070E-01   -0.56502E+01
   208    0.53449E+04    0.66551E+00    0.13210E-01   -0.43287E+01
   209    0.53520E+04    0.67247E+00    0.13351E-01   -0.29898E+01
   210    0.53584E+04    0.68052E+00    0.13492E-01   -0.16345E+01
   211    0.53644E+04    0.68969E+00    0.13634E-01   -0.26280E+00
   212    0.53696E+04    0.70002E+00    0.13776E-01    0.11245E+01
   213    0.53743E+04    0.71153E+00    0.13919E-01    0.25273E+01
   214    0.53783E+04    0.72424E+00    0.14063E-01    0.39446E+01
   215    0.53818E+04    0.73831E+00    0.14207E-01    0.53756E+01
   216    0.53847E+04    0.75358E+00    0.14352E-01    0.68208E+01
   217    0.53871E+04    0.77019E+00    0.14497E-01    0.82784E+01
   218    0.53888E+04    0.78814E+00    0.14643E-01    0.97484E+01
   219    0.53899E+04    0.80742E+00    0.14789E-01    0.11232E+02
   220    0.53905E+04    0.82820E+00    0.14936E-01    0.12725E+02
   221    0.53905E+04    0.85038E+00    0.15083E-01    0.14229E+02
   222    0.53900E+04    0.87412E+00    0.15230E-01    0.15743E+02
   223    0.53887E+04    0.89934E+00    0.15378E-01    0.17267E+02
   224    0.53870E+04    0.92604E+00    0.15527E-01    0.18799E+02
   225    0.53847E+04    0.95436E+00    0.15675E-01    0.20341E+02
   226    0.53818E+04    0.98430E+00    0.15825E-01    0.21889E+02
   227    0.53782E+04    0.10159E+01    0.15974E-01    0.23444E+02
   228    0.53742E+04    0.10491E+01    0.16124E-01    0.25006E+02
   229    0.53696E+04    0.10839E+01    0.16274E-01    0.26574E+02
   230    0.53643E+04    0.11205E+01    0.16425E-01    0.28146E+02
   231    0.53584E+04    0.11588E+01    0.16575E-01    0.29724E+02
   232    0.53520E+04    0.11989E+01    0.16726E-01    0.31305E+02
   233    0.53450E+04    0.12408E+01    0.16878E-01    0.32889E+02
   234    0.53373E+04    0.12845E+01    0.17029E-01    0.34475E+02
   235    0.53292E+04    0.13300E+01    0.17181E-01    0.36062E+02
   236    0.53203E+04    0.13773E+01    0.17333E-01    0.37651E+02
   237    0.53109E+04    0.14265E+01    0.17485E-01    0.39240E+02
   238    0.53009E+04    0.14778E+01    0.17637E-01    0.40829E+02
   239    0.52905E+04    0.15308E+01    0.17790E-01    0.42418E+02
   240    0.52793E+04    0.15857E+01    0.17942E-01    0.44003E+02
   241    0.52676E+04    0.16427E+01    0.18095E-01    0.45586E+02
   242    0.52555E+04    0.17015E+01    0.18247E-01    0.47167E+02
   243    0.52427E+04    0.17624E+01    0.18400E-01    0.48743E+02
   244    0.52293E+04    0.18253E+01    0.18553E-01    0.50316E+02
   245    0.52154E+04    0.18902E+01    0.18706E-01    0.51882E+02
   246    0.52010E+04    0.19571E+01    0.18858E-01    0.53443E+02
   247    0.51861E+04    0.20259E+01    0.19011E-01    0.54997E+02
   248    0.51706E+04    0.20971E+01    0.19164E-01    0.56544E+02
   249    0.51547E+04    0.21701E+01    0.19316E-01    0.58084E+02
   250    0.51382E+04    0.22454E+01    0.19469E-01    0.59614E+02
   251    0.51213E+04    0.23226E+01    0.19621E-01    0.61135E+02
   252    0.51038E+04    0.24019E+01    0.19774E-01    0.62647E+02
   253    0.50859E+04    0.24832E+01    0.19926E-01    0.64147E+02
   254    0.50675E+04    0.25668E+01    0.20078E-01    0.65636E+02
   255    0.50486E+04    0.26523E+01    0.20230E-01    0.67114E+02
   256    0.50293E+04    0.27401E+01    0.20381E-01    0.68580E+02
   257    0.50095E+04    0.28298E+01    0.20532E-01    0.70027E+02
   258    0.49892E+04    0.29218E+01    0.20683E-01    0.71467E+02
   259    0.49685E+04    0.30159E+01    0.20834E-01    0.72886E+02
   260    0.49475E+04    0.31120E+01    0.20985E-01    0.74297E+02
   261    0.49259E+04    0.32102E+01    0.21135E-01    0.75680E+02
   262    0.49039E+04    0.33107E+01    0.21285E-01    0.77057E+02
   263    0.48817E+04    0.34132E+01    0.21435E-01    0.78419E+02
   264    0.48589E+04    0.35178E+01    0.21584E-01    0.79759E+02
   265    0.48357E+04    0.36244E+01    0.21733E-01    0.81071E+02
   266    0.48121E+04    0.37333E+01    0.21881E-01    0.82377E+02
   267    0.47881E+04    0.38441E+01    0.22029E-01    0.83653E+02
   268    0.47637E+04    0.39571E+01    0.22177E-01    0.84916E+02
   269    0.47388E+04    0.40721E+01    0.22324E-01    0.86157E+02
   270    0.47136E+04    0.41892E+01    0.22471E-01    0.87378E+02
   271    0.46881E+04    0.43082E+01    0.22617E-01    0.88577E+02
   272    0.46623E+04    0.44295E+01    0.22763E-01    0.89747E+02
   273    0.46361E+04    0.45524E+01    0.22909E-01    0.90904E+02
   274    0.46097E+04    0.46777E+01    0.23054E-01    0.92024E+02
   275    0.45828E+04    0.48046E+01    0.23198E-01    0.93131E+02
   276    0.45558E+04    0.49336E+01    0.23342E-01    0.94203E+02
   277    0.45283E+04    0.50645E+01    0.23486E-01    0.95260E+02
   278    0.45007E+04    0.51973E+01    0.23629E-01    0.96282E+02
   279    0.44727E+04    0.53320E+01    0.23771E-01    0.97275E+02
   280    0.44444E+04    0.54685E+01    0.23913E-01    0.98255E+02
   281    0.44161E+04    0.56069E+01    0.24054E-01    0.99199E+02
   282    0.43872E+04    0.57469E+01    0.24195E-01    0.10011E+03
   283    0.43583E+04    0.58887E+01    0.24335E-01    0.10100E+03
   284    0.43291E+04    0.60323E+01    0.24475E-01    0.10186E+03
   285    0.42997E+04    0.61777E+01    0.24614E-01    0.10269E+03
   286    0.42700E+04    0.63246E+01    0.24752E-01    0.10349E+03
   287    0.42402E+04    0.64732E+01    0.24890E-01    0.10426E+03
   288    0.42101E+04    0.66234E+01    0.25028E-01    0.10500E+03
   289    0.41799E+04    0.67752E+01    0.25164E-01    0.10571E+03
   290    0.41495E+04    0.69283E+01    0.25300E-01    0.10640E+03
   291    0.41190E+04    0.70836E+01    0.25436E-01    0.10704E+03
   292    0.40881E+04    0.72399E+01    0.25571E-01    0.10766E+03
   293    0.40573E+04    0.73969E+01    0.25705E-01    0.10823E+03
   294    0.40262E+04    0.75560E+01    0.25838E-01    0.10879E+03
   295    0.39952E+04    0.77158E+01    0.25971E-01    0.10931E+03
   296    0.39639E+04    0.78777E+01    0.26104E-01    0.10979E+03
   297    0.39325E+04    0.80396E+01    0.26235E-01    0.11025E+03
   298    0.39010E+04    0.82036E+01    0.26366E-01    0.11067E+03
   299    0.38694E+04    0.83690E+01    0.26497E-01    0.11105E+03
   300    0.38377E+04    0.85343E+01    0.26627E-01    0.11139E+03
   301    0.38059E+04    0.87011E+01    0.26756E-01    0.11171E+03
   302    0.37741E+04    0.88685E+01    0.26884E-01    0.11200E+03
