#           k/h    P           
    0.42098E-02    0.19424E+05
    0.42948E-02    0.19777E+05
    0.43816E-02    0.20134E+05
    0.44701E-02    0.20495E+05
    0.45604E-02    0.20861E+05
    0.46525E-02    0.21231E+05
    0.47465E-02    0.21605E+05
    0.48424E-02    0.21983E+05
    0.49402E-02    0.22366E+05
    0.50400E-02    0.22752E+05
    0.51419E-02    0.23142E+05
    0.52457E-02    0.23536E+05
    0.53517E-02    0.23934E+05
    0.54598E-02    0.24336E+05
    0.55701E-02    0.24740E+05
    0.56826E-02    0.25149E+05
    0.57974E-02    0.25560E+05
    0.59145E-02    0.25974E+05
    0.60340E-02    0.26391E+05
    0.61559E-02    0.26810E+05
    0.62803E-02    0.27233E+05
    0.64072E-02    0.27657E+05
    0.65366E-02    0.28084E+05
    0.66686E-02    0.28512E+05
    0.68033E-02    0.28943E+05
    0.69408E-02    0.29375E+05
    0.70810E-02    0.29808E+05
    0.72240E-02    0.30242E+05
    0.73700E-02    0.30677E+05
    0.75189E-02    0.31113E+05
    0.76708E-02    0.31548E+05
    0.78257E-02    0.31984E+05
    0.79838E-02    0.32419E+05
    0.81451E-02    0.32854E+05
    0.83096E-02    0.33287E+05
    0.84775E-02    0.33720E+05
    0.86488E-02    0.34150E+05
    0.88235E-02    0.34579E+05
    0.90017E-02    0.35005E+05
    0.91836E-02    0.35428E+05
    0.93691E-02    0.35848E+05
    0.95583E-02    0.36264E+05
    0.97514E-02    0.36676E+05
    0.99484E-02    0.37084E+05
    0.10149E-01    0.37486E+05
    0.10354E-01    0.37884E+05
    0.10564E-01    0.38275E+05
    0.10777E-01    0.38659E+05
    0.10995E-01    0.39037E+05
    0.11217E-01    0.39406E+05
    0.11443E-01    0.39768E+05
    0.11675E-01    0.40120E+05
    0.11910E-01    0.40464E+05
    0.12151E-01    0.40797E+05
    0.12397E-01    0.41121E+05
    0.12647E-01    0.41434E+05
    0.12902E-01    0.41736E+05
    0.13163E-01    0.42025E+05
    0.13429E-01    0.42300E+05
    0.13700E-01    0.42561E+05
    0.13977E-01    0.42805E+05
    0.14259E-01    0.43033E+05
    0.14547E-01    0.43247E+05
    0.14841E-01    0.43448E+05
    0.15141E-01    0.43639E+05
    0.15447E-01    0.43819E+05
    0.15759E-01    0.43988E+05
    0.16077E-01    0.44142E+05
    0.16402E-01    0.44276E+05
    0.16734E-01    0.44387E+05
    0.17072E-01    0.44471E+05
    0.17416E-01    0.44528E+05
    0.17768E-01    0.44560E+05
    0.18127E-01    0.44568E+05
    0.18493E-01    0.44555E+05
    0.18867E-01    0.44523E+05
    0.19248E-01    0.44470E+05
    0.19637E-01    0.44393E+05
    0.20034E-01    0.44289E+05
    0.20438E-01    0.44157E+05
    0.20851E-01    0.43994E+05
    0.21272E-01    0.43801E+05
    0.21702E-01    0.43581E+05
    0.22141E-01    0.43336E+05
    0.22588E-01    0.43070E+05
    0.23044E-01    0.42785E+05
    0.23510E-01    0.42481E+05
    0.23985E-01    0.42158E+05
    0.24469E-01    0.41816E+05
    0.24964E-01    0.41456E+05
    0.25468E-01    0.41076E+05
    0.25982E-01    0.40678E+05
    0.26507E-01    0.40260E+05
    0.27043E-01    0.39823E+05
    0.27589E-01    0.39366E+05
    0.28146E-01    0.38890E+05
    0.28715E-01    0.38395E+05
    0.29295E-01    0.37884E+05
    0.29887E-01    0.37359E+05
    0.30490E-01    0.36821E+05
    0.31106E-01    0.36272E+05
    0.31735E-01    0.35715E+05
    0.32376E-01    0.35152E+05
    0.33030E-01    0.34586E+05
    0.33697E-01    0.34020E+05
    0.34378E-01    0.33455E+05
    0.35072E-01    0.32893E+05
    0.35781E-01    0.32337E+05
    0.36504E-01    0.31787E+05
    0.37241E-01    0.31246E+05
    0.37993E-01    0.30714E+05
    0.38761E-01    0.30193E+05
    0.39544E-01    0.29683E+05
    0.40343E-01    0.29187E+05
    0.41158E-01    0.28705E+05
    0.41989E-01    0.28239E+05
    0.42838E-01    0.27790E+05
    0.43703E-01    0.27361E+05
    0.44586E-01    0.26954E+05
    0.45486E-01    0.26572E+05
    0.46405E-01    0.26213E+05
    0.47343E-01    0.25876E+05
    0.48299E-01    0.25560E+05
    0.49275E-01    0.25261E+05
    0.50270E-01    0.24979E+05
    0.51286E-01    0.24711E+05
    0.52322E-01    0.24456E+05
    0.53379E-01    0.24212E+05
    0.54457E-01    0.23978E+05
