#    L    TT             EE             BB             TE          
    91    0.24047E+04    0.62069E+00    0.34143E-02   -0.17511E+02
    92    0.24342E+04    0.63548E+00    0.34905E-02   -0.18133E+02
    93    0.24640E+04    0.65023E+00    0.35675E-02   -0.18759E+02
    94    0.24938E+04    0.66490E+00    0.36455E-02   -0.19388E+02
    95    0.25239E+04    0.67950E+00    0.37244E-02   -0.20020E+02
    96    0.25540E+04    0.69401E+00    0.38043E-02   -0.20656E+02
    97    0.25846E+04    0.70841E+00    0.38850E-02   -0.21293E+02
    98    0.26153E+04    0.72270E+00    0.39667E-02   -0.21931E+02
    99    0.26461E+04    0.73683E+00    0.40493E-02   -0.22572E+02
   100    0.26772E+04    0.75082E+00    0.41329E-02   -0.23211E+02
   101    0.27085E+04    0.76472E+00    0.42174E-02   -0.23851E+02
   102    0.27402E+04    0.77838E+00    0.43029E-02   -0.24491E+02
   103    0.27719E+04    0.79188E+00    0.43894E-02   -0.25131E+02
   104    0.28037E+04    0.80521E+00    0.44768E-02   -0.25767E+02
   105    0.28358E+04    0.81831E+00    0.45651E-02   -0.26402E+02
   106    0.28680E+04    0.83125E+00    0.46545E-02   -0.27035E+02
   107    0.29001E+04    0.84387E+00    0.47448E-02   -0.27664E+02
   108    0.29326E+04    0.85627E+00    0.48361E-02   -0.28290E+02
   109    0.29653E+04    0.86835E+00    0.49284E-02   -0.28912E+02
   110    0.29980E+04    0.88012E+00    0.50217E-02   -0.29528E+02
   111    0.30308E+04    0.89166E+00    0.51160E-02   -0.30139E+02
   112    0.30638E+04    0.90289E+00    0.52113E-02   -0.30745E+02
   113    0.30970E+04    0.91382E+00    0.53076E-02   -0.31344E+02
   114    0.31303E+04    0.92436E+00    0.54050E-02   -0.31935E+02
   115    0.31638E+04    0.93468E+00    0.55033E-02   -0.32519E+02
   116    0.31972E+04    0.94454E+00    0.56027E-02   -0.33095E+02
   117    0.32310E+04    0.95402E+00    0.57031E-02   -0.33661E+02
   118    0.32649E+04    0.96327E+00    0.58046E-02   -0.34219E+02
   119    0.32987E+04    0.97215E+00    0.59071E-02   -0.34766E+02
   120    0.33327E+04    0.98050E+00    0.60107E-02   -0.35303E+02
   121    0.33667E+04    0.98862E+00    0.61153E-02   -0.35829E+02
   122    0.34007E+04    0.99622E+00    0.62210E-02   -0.36344E+02
   123    0.34348E+04    0.10034E+01    0.63278E-02   -0.36847E+02
   124    0.34689E+04    0.10101E+01    0.64356E-02   -0.37335E+02
   125    0.35030E+04    0.10165E+01    0.65446E-02   -0.37812E+02
   126    0.35371E+04    0.10224E+01    0.66546E-02   -0.38275E+02
   127    0.35712E+04    0.10279E+01    0.67657E-02   -0.38724E+02
   128    0.36053E+04    0.10329E+01    0.68780E-02   -0.39159E+02
   129    0.36394E+04    0.10375E+01    0.69914E-02   -0.39578E+02
   130    0.36735E+04    0.10415E+01    0.71059E-02   -0.39981E+02
   131    0.37075E+04    0.10452E+01    0.72215E-02   -0.40370E+02
   132    0.37416E+04    0.10483E+01    0.73383E-02   -0.40741E+02
   133    0.37756E+04    0.10510E+01    0.74562E-02   -0.41097E+02
   134    0.38095E+04    0.10533E+01    0.75753E-02   -0.41432E+02
   135    0.38434E+04    0.10550E+01    0.76956E-02   -0.41752E+02
   136    0.38772E+04    0.10563E+01    0.78171E-02   -0.42050E+02
   137    0.39109E+04    0.10571E+01    0.79397E-02   -0.42331E+02
   138    0.39445E+04    0.10574E+01    0.80636E-02   -0.42592E+02
   139    0.39778E+04    0.10574E+01    0.81886E-02   -0.42833E+02
   140    0.40112E+04    0.10567E+01    0.83149E-02   -0.43054E+02
   141    0.40444E+04    0.10556E+01    0.84424E-02   -0.43253E+02
   142    0.40775E+04    0.10540E+01    0.85711E-02   -0.43432E+02
   143    0.41105E+04    0.10521E+01    0.87011E-02   -0.43590E+02
   144    0.41433E+04    0.10496E+01    0.88323E-02   -0.43726E+02
   145    0.41759E+04    0.10468E+01    0.89647E-02   -0.43840E+02
   146    0.42086E+04    0.10434E+01    0.90985E-02   -0.43932E+02
   147    0.42409E+04    0.10396E+01    0.92335E-02   -0.44000E+02
   148    0.42730E+04    0.10354E+01    0.93698E-02   -0.44046E+02
   149    0.43050E+04    0.10308E+01    0.95074E-02   -0.44068E+02
   150    0.43367E+04    0.10258E+01    0.96462E-02   -0.44065E+02
   151    0.43682E+04    0.10204E+01    0.97864E-02   -0.44038E+02
   152    0.43994E+04    0.10145E+01    0.99279E-02   -0.43988E+02
   153    0.44305E+04    0.10083E+01    0.10071E-01   -0.43911E+02
   154    0.44613E+04    0.10017E+01    0.10215E-01   -0.43810E+02
   155    0.44919E+04    0.99486E+00    0.10360E-01   -0.43684E+02
   156    0.45221E+04    0.98766E+00    0.10507E-01   -0.43533E+02
   157    0.45521E+04    0.98012E+00    0.10655E-01   -0.43356E+02
   158    0.45819E+04    0.97233E+00    0.10805E-01   -0.43154E+02
   159    0.46113E+04    0.96415E+00    0.10955E-01   -0.42925E+02
   160    0.46405E+04    0.95571E+00    0.11107E-01   -0.42670E+02
   161    0.46695E+04    0.94710E+00    0.11261E-01   -0.42389E+02
   162    0.46981E+04    0.93817E+00    0.11416E-01   -0.42083E+02
   163    0.47265E+04    0.92899E+00    0.11572E-01   -0.41749E+02
   164    0.47545E+04    0.91964E+00    0.11729E-01   -0.41390E+02
   165    0.47823E+04    0.91006E+00    0.11888E-01   -0.41004E+02
   166    0.48097E+04    0.90038E+00    0.12048E-01   -0.40591E+02
   167    0.48369E+04    0.89039E+00    0.12210E-01   -0.40153E+02
   168    0.48637E+04    0.88045E+00    0.12372E-01   -0.39687E+02
   169    0.48901E+04    0.87028E+00    0.12537E-01   -0.39194E+02
   170    0.49161E+04    0.86010E+00    0.12702E-01   -0.38674E+02
   171    0.49417E+04    0.84991E+00    0.12869E-01   -0.38126E+02
   172    0.49669E+04    0.83964E+00    0.13037E-01   -0.37552E+02
   173    0.49916E+04    0.82929E+00    0.13206E-01   -0.36950E+02
   174    0.50159E+04    0.81915E+00    0.13377E-01   -0.36322E+02
   175    0.50399E+04    0.80893E+00    0.13549E-01   -0.35666E+02
   176    0.50633E+04    0.79886E+00    0.13722E-01   -0.34983E+02
   177    0.50862E+04    0.78886E+00    0.13897E-01   -0.34274E+02
   178    0.51087E+04    0.77916E+00    0.14072E-01   -0.33537E+02
   179    0.51307E+04    0.76946E+00    0.14249E-01   -0.32773E+02
   180    0.51524E+04    0.75999E+00    0.14428E-01   -0.31984E+02
   181    0.51735E+04    0.75074E+00    0.14607E-01   -0.31168E+02
   182    0.51942E+04    0.74180E+00    0.14788E-01   -0.30326E+02
   183    0.52143E+04    0.73309E+00    0.14970E-01   -0.29457E+02
   184    0.52340E+04    0.72468E+00    0.15153E-01   -0.28563E+02
   185    0.52532E+04    0.71673E+00    0.15337E-01   -0.27644E+02
   186    0.52715E+04    0.70909E+00    0.15523E-01   -0.26698E+02
   187    0.52897E+04    0.70192E+00    0.15709E-01   -0.25727E+02
   188    0.53073E+04    0.69519E+00    0.15897E-01   -0.24732E+02
   189    0.53244E+04    0.68894E+00    0.16086E-01   -0.23711E+02
   190    0.53412E+04    0.68323E+00    0.16276E-01   -0.22668E+02
   191    0.53571E+04    0.67808E+00    0.16467E-01   -0.21598E+02
   192    0.53726E+04    0.67351E+00    0.16660E-01   -0.20505E+02
   193    0.53876E+04    0.66958E+00    0.16853E-01   -0.19389E+02
   194    0.54021E+04    0.66630E+00    0.17047E-01   -0.18249E+02
   195    0.54160E+04    0.66373E+00    0.17243E-01   -0.17087E+02
   196    0.54293E+04    0.66189E+00    0.17439E-01   -0.15902E+02
   197    0.54421E+04    0.66084E+00    0.17637E-01   -0.14696E+02
   198    0.54544E+04    0.66059E+00    0.17835E-01   -0.13468E+02
   199    0.54661E+04    0.66120E+00    0.18035E-01   -0.12219E+02
   200    0.54773E+04    0.66267E+00    0.18235E-01   -0.10949E+02
   201    0.54879E+04    0.66509E+00    0.18436E-01   -0.96584E+01
   202    0.54980E+04    0.66844E+00    0.18639E-01   -0.83480E+01
   203    0.55075E+04    0.67280E+00    0.18842E-01   -0.70173E+01
   204    0.55163E+04    0.67818E+00    0.19046E-01   -0.56694E+01
   205    0.55245E+04    0.68463E+00    0.19251E-01   -0.43019E+01
   206    0.55321E+04    0.69217E+00    0.19457E-01   -0.29163E+01
   207    0.55391E+04    0.70084E+00    0.19663E-01   -0.15130E+01
   208    0.55454E+04    0.71068E+00    0.19871E-01   -0.92467E-01
   209    0.55511E+04    0.72170E+00    0.20079E-01    0.13448E+01
   210    0.55561E+04    0.73397E+00    0.20288E-01    0.27979E+01
   211    0.55606E+04    0.74751E+00    0.20498E-01    0.42668E+01
   212    0.55643E+04    0.76235E+00    0.20709E-01    0.57505E+01
   213    0.55675E+04    0.77853E+00    0.20920E-01    0.72489E+01
   214    0.55700E+04    0.79604E+00    0.21132E-01    0.87610E+01
   215    0.55719E+04    0.81507E+00    0.21345E-01    0.10286E+02
   216    0.55732E+04    0.83544E+00    0.21559E-01    0.11824E+02
   217    0.55739E+04    0.85729E+00    0.21773E-01    0.13373E+02
   218    0.55739E+04    0.88064E+00    0.21988E-01    0.14934E+02
   219    0.55733E+04    0.90547E+00    0.22203E-01    0.16507E+02
   220    0.55722E+04    0.93193E+00    0.22419E-01    0.18089E+02
   221    0.55704E+04    0.95995E+00    0.22636E-01    0.19680E+02
   222    0.55680E+04    0.98967E+00    0.22853E-01    0.21280E+02
   223    0.55649E+04    0.10210E+01    0.23070E-01    0.22889E+02
   224    0.55614E+04    0.10540E+01    0.23289E-01    0.24504E+02
   225    0.55572E+04    0.10887E+01    0.23507E-01    0.26127E+02
   226    0.55523E+04    0.11252E+01    0.23726E-01    0.27755E+02
   227    0.55469E+04    0.11635E+01    0.23946E-01    0.29389E+02
   228    0.55408E+04    0.12036E+01    0.24166E-01    0.31028E+02
   229    0.55342E+04    0.12455E+01    0.24386E-01    0.32670E+02
   230    0.55270E+04    0.12892E+01    0.24607E-01    0.34317E+02
   231    0.55190E+04    0.13348E+01    0.24828E-01    0.35966E+02
   232    0.55106E+04    0.13823E+01    0.25049E-01    0.37617E+02
   233    0.55015E+04    0.14318E+01    0.25271E-01    0.39268E+02
