#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.268257E+00   0.713718E+06   0.710361E+06   0.340010E+00  -0.250288E+00   0.134678E+05   0.710022E+06   0.713187E+06   0.710022E+06  -0.167679E-01   0.373068E+06   0.373023E+06   0.567140E-01
   0.273635E+00   0.691916E+06   0.688562E+06   0.316780E+00  -0.233196E+00   0.126310E+05   0.688316E+06   0.691386E+06   0.688316E+06  -0.162553E-01   0.361664E+06   0.361619E+06   0.551074E-01
   0.279013E+00   0.670413E+06   0.667041E+06   0.295202E+00  -0.217318E+00   0.118461E+05   0.666904E+06   0.669880E+06   0.666904E+06  -0.157496E-01   0.350414E+06   0.350369E+06   0.537358E-01
   0.284392E+00   0.649803E+06   0.646422E+06   0.275394E+00  -0.202743E+00   0.111197E+05   0.646382E+06   0.649268E+06   0.646382E+06  -0.152650E-01   0.339632E+06   0.339587E+06   0.522697E-01
   0.289770E+00   0.630604E+06   0.627247E+06   0.257420E+00  -0.189516E+00   0.104562E+05   0.627271E+06   0.630074E+06   0.627271E+06  -0.148136E-01   0.329591E+06   0.329547E+06   0.505070E-01
   0.295149E+00   0.613144E+06   0.609853E+06   0.241250E+00  -0.177614E+00   0.985602E+04   0.609897E+06   0.612624E+06   0.609897E+06  -0.144033E-01   0.320462E+06   0.320420E+06   0.483940E-01
   0.300527E+00   0.597423E+06   0.594239E+06   0.226726E+00  -0.166924E+00   0.931445E+04   0.594262E+06   0.596920E+06   0.594262E+06  -0.140341E-01   0.312247E+06   0.312206E+06   0.460038E-01
   0.305906E+00   0.583144E+06   0.580093E+06   0.213596E+00  -0.157258E+00   0.882250E+04   0.580066E+06   0.582662E+06   0.580066E+06  -0.136989E-01   0.304789E+06   0.304749E+06   0.434916E-01
   0.311284E+00   0.569861E+06   0.566952E+06   0.201583E+00  -0.148415E+00   0.836993E+04   0.566863E+06   0.569401E+06   0.566863E+06  -0.133870E-01   0.297852E+06   0.297813E+06   0.410401E-01
   0.316663E+00   0.557138E+06   0.554362E+06   0.190448E+00  -0.140218E+00   0.794770E+04   0.554217E+06   0.556699E+06   0.554217E+06  -0.130884E-01   0.291207E+06   0.291170E+06   0.388088E-01
   0.322041E+00   0.544622E+06   0.541956E+06   0.180005E+00  -0.132530E+00   0.754886E+04   0.541774E+06   0.544201E+06   0.541774E+06  -0.127945E-01   0.284669E+06   0.284633E+06   0.368980E-01
   0.327420E+00   0.532073E+06   0.529488E+06   0.170127E+00  -0.125259E+00   0.716867E+04   0.529292E+06   0.531665E+06   0.529292E+06  -0.124998E-01   0.278111E+06   0.278076E+06   0.353323E-01
   0.332798E+00   0.519402E+06   0.516869E+06   0.160749E+00  -0.118357E+00   0.680489E+04   0.516685E+06   0.519002E+06   0.516685E+06  -0.122020E-01   0.271487E+06   0.271453E+06   0.340688E-01
   0.338177E+00   0.506696E+06   0.504193E+06   0.151866E+00  -0.111818E+00   0.645772E+04   0.504040E+06   0.506301E+06   0.504040E+06  -0.119034E-01   0.264843E+06   0.264809E+06   0.330196E-01
   0.343555E+00   0.494172E+06   0.491689E+06   0.143507E+00  -0.105665E+00   0.612894E+04   0.491574E+06   0.493779E+06   0.491574E+06  -0.116090E-01   0.258293E+06   0.258260E+06   0.320808E-01
   0.348933E+00   0.482073E+06   0.479611E+06   0.135708E+00  -0.999247E-01   0.582043E+04   0.479531E+06   0.481684E+06   0.479531E+06  -0.113246E-01   0.251966E+06   0.251933E+06   0.311582E-01
   0.354312E+00   0.470579E+06   0.468147E+06   0.128479E+00  -0.946031E-01   0.553306E+04   0.468093E+06   0.470194E+06   0.468093E+06  -0.110545E-01   0.245956E+06   0.245924E+06   0.301868E-01
   0.359690E+00   0.459777E+06   0.457387E+06   0.121802E+00  -0.896880E-01   0.526651E+04   0.457345E+06   0.459399E+06   0.457345E+06  -0.108007E-01   0.240308E+06   0.240277E+06   0.291396E-01
   0.365069E+00   0.449673E+06   0.447340E+06   0.115641E+00  -0.851520E-01   0.501954E+04   0.447294E+06   0.449304E+06   0.447294E+06  -0.105633E-01   0.235028E+06   0.234997E+06   0.280265E-01
   0.370447E+00   0.440208E+06   0.437940E+06   0.109944E+00  -0.809575E-01   0.479029E+04   0.437881E+06   0.439849E+06   0.437881E+06  -0.103410E-01   0.230082E+06   0.230052E+06   0.268848E-01
   0.375826E+00   0.431260E+06   0.429062E+06   0.104649E+00  -0.770590E-01   0.457634E+04   0.428984E+06   0.430912E+06   0.428984E+06  -0.101309E-01   0.225407E+06   0.225378E+06   0.257630E-01
   0.381204E+00   0.422669E+06   0.420540E+06   0.996913E-01  -0.734088E-01   0.437514E+04   0.420442E+06   0.422332E+06   0.420442E+06  -0.992916E-02   0.220919E+06   0.220890E+06   0.247067E-01
   0.386583E+00   0.414284E+06   0.412215E+06   0.950139E-01  -0.699650E-01   0.418438E+04   0.412103E+06   0.413957E+06   0.412103E+06  -0.973223E-02   0.216537E+06   0.216510E+06   0.237472E-01
   0.391961E+00   0.406004E+06   0.403986E+06   0.905771E-01  -0.666985E-01   0.400253E+04   0.403868E+06   0.405685E+06   0.403868E+06  -0.953776E-02   0.212210E+06   0.212183E+06   0.228971E-01
   0.397340E+00   0.397795E+06   0.395817E+06   0.863590E-01  -0.635929E-01   0.382875E+04   0.395702E+06   0.397482E+06   0.395702E+06  -0.934489E-02   0.207919E+06   0.207893E+06   0.221497E-01
   0.402718E+00   0.389676E+06   0.387730E+06   0.823511E-01  -0.606422E-01   0.366282E+04   0.387624E+06   0.389368E+06   0.387624E+06  -0.915412E-02   0.203675E+06   0.203649E+06   0.214842E-01
   0.408097E+00   0.381696E+06   0.379777E+06   0.785517E-01  -0.578450E-01   0.350479E+04   0.379684E+06   0.381393E+06   0.379684E+06  -0.896661E-02   0.199503E+06   0.199478E+06   0.208718E-01
   0.413475E+00   0.373923E+06   0.372029E+06   0.749622E-01  -0.552022E-01   0.335487E+04   0.371948E+06   0.373623E+06   0.371948E+06  -0.878394E-02   0.195439E+06   0.195414E+06   0.202845E-01
   0.418854E+00   0.366418E+06   0.364551E+06   0.715826E-01  -0.527140E-01   0.321319E+04   0.364482E+06   0.366123E+06   0.364482E+06  -0.860760E-02   0.191516E+06   0.191491E+06   0.197008E-01
   0.424232E+00   0.359228E+06   0.357391E+06   0.684093E-01  -0.503776E-01   0.307968E+04   0.357328E+06   0.358938E+06   0.357328E+06  -0.843867E-02   0.187757E+06   0.187733E+06   0.191093E-01
   0.429610E+00   0.352367E+06   0.350564E+06   0.654328E-01  -0.481860E-01   0.295404E+04   0.350503E+06   0.352082E+06   0.350503E+06  -0.827747E-02   0.184170E+06   0.184147E+06   0.185090E-01
   0.434989E+00   0.345815E+06   0.344050E+06   0.626379E-01  -0.461280E-01   0.283570E+04   0.343986E+06   0.345536E+06   0.343986E+06  -0.812357E-02   0.180746E+06   0.180723E+06   0.179070E-01
   0.440367E+00   0.339528E+06   0.337803E+06   0.600062E-01  -0.441902E-01   0.272390E+04   0.337733E+06   0.339255E+06   0.337733E+06  -0.797591E-02   0.177461E+06   0.177438E+06   0.173154E-01
   0.445746E+00   0.333454E+06   0.331768E+06   0.575192E-01  -0.423589E-01   0.261790E+04   0.331692E+06   0.333188E+06   0.331692E+06  -0.783325E-02   0.174287E+06   0.174265E+06   0.167469E-01
   0.451124E+00   0.327548E+06   0.325899E+06   0.551613E-01  -0.406227E-01   0.251705E+04   0.325818E+06   0.327288E+06   0.325818E+06  -0.769453E-02   0.171201E+06   0.171179E+06   0.162117E-01
   0.456503E+00   0.321773E+06   0.320157E+06   0.529194E-01  -0.389718E-01   0.242083E+04   0.320074E+06   0.321518E+06   0.320074E+06  -0.755888E-02   0.168182E+06   0.168161E+06   0.157150E-01
   0.461881E+00   0.316100E+06   0.314514E+06   0.507826E-01  -0.373985E-01   0.232880E+04   0.314432E+06   0.315850E+06   0.314432E+06  -0.742561E-02   0.165217E+06   0.165196E+06   0.152566E-01
   0.467260E+00   0.310518E+06   0.308958E+06   0.487439E-01  -0.358973E-01   0.224068E+04   0.308879E+06   0.310272E+06   0.308879E+06  -0.729448E-02   0.162300E+06   0.162279E+06   0.148315E-01
   0.472638E+00   0.305040E+06   0.303504E+06   0.468001E-01  -0.344660E-01   0.215639E+04   0.303428E+06   0.304797E+06   0.303428E+06  -0.716577E-02   0.159436E+06   0.159416E+06   0.144322E-01
   0.478017E+00   0.299691E+06   0.298177E+06   0.449503E-01  -0.331039E-01   0.207591E+04   0.298107E+06   0.299452E+06   0.298107E+06  -0.704009E-02   0.156640E+06   0.156620E+06   0.140507E-01
   0.483395E+00   0.294493E+06   0.293001E+06   0.431929E-01  -0.318099E-01   0.199924E+04   0.292935E+06   0.294257E+06   0.292935E+06  -0.691795E-02   0.153922E+06   0.153903E+06   0.136800E-01
   0.488774E+00   0.289454E+06   0.287985E+06   0.415244E-01  -0.305813E-01   0.192623E+04   0.287922E+06   0.289221E+06   0.287922E+06  -0.679957E-02   0.151288E+06   0.151269E+06   0.133150E-01
   0.494152E+00   0.284577E+06   0.283131E+06   0.399408E-01  -0.294152E-01   0.185676E+04   0.283070E+06   0.284348E+06   0.283070E+06  -0.668499E-02   0.148739E+06   0.148720E+06   0.129540E-01
   0.499530E+00   0.279861E+06   0.278441E+06   0.384377E-01  -0.283083E-01   0.179064E+04   0.278380E+06   0.279637E+06   0.278380E+06  -0.657423E-02   0.146275E+06   0.146256E+06   0.125979E-01
   0.504909E+00   0.275300E+06   0.273905E+06   0.370099E-01  -0.272569E-01   0.172767E+04   0.273843E+06   0.275080E+06   0.273843E+06  -0.646708E-02   0.143891E+06   0.143872E+06   0.122493E-01
   0.510287E+00   0.270876E+06   0.269505E+06   0.356515E-01  -0.262565E-01   0.166761E+04   0.269442E+06   0.270659E+06   0.269442E+06  -0.636315E-02   0.141578E+06   0.141560E+06   0.119114E-01
   0.515666E+00   0.266566E+06   0.265219E+06   0.343562E-01  -0.253027E-01   0.161019E+04   0.265155E+06   0.266353E+06   0.265155E+06  -0.626191E-02   0.139326E+06   0.139308E+06   0.115871E-01
   0.521044E+00   0.262353E+06   0.261030E+06   0.331188E-01  -0.243914E-01   0.155520E+04   0.260966E+06   0.262144E+06   0.260966E+06  -0.616297E-02   0.137124E+06   0.137107E+06   0.112782E-01
   0.526423E+00   0.258229E+06   0.256928E+06   0.319355E-01  -0.235200E-01   0.150247E+04   0.256863E+06   0.258024E+06   0.256863E+06  -0.606609E-02   0.134969E+06   0.134952E+06   0.109853E-01
   0.531801E+00   0.254189E+06   0.252908E+06   0.308031E-01  -0.226861E-01   0.145187E+04   0.252845E+06   0.253987E+06   0.252845E+06  -0.597118E-02   0.132857E+06   0.132840E+06   0.107075E-01
   0.537180E+00   0.250232E+06   0.248970E+06   0.297193E-01  -0.218880E-01   0.140333E+04   0.248908E+06   0.250032E+06   0.248908E+06  -0.587820E-02   0.130789E+06   0.130772E+06   0.104427E-01
   0.542558E+00   0.246358E+06   0.245114E+06   0.286819E-01  -0.211241E-01   0.135675E+04   0.245054E+06   0.246161E+06   0.245054E+06  -0.578720E-02   0.128764E+06   0.128747E+06   0.101885E-01
   0.547937E+00   0.242573E+06   0.241347E+06   0.276894E-01  -0.203932E-01   0.131209E+04   0.241289E+06   0.242379E+06   0.241289E+06  -0.569828E-02   0.126785E+06   0.126769E+06   0.994270E-02
   0.553315E+00   0.238883E+06   0.237674E+06   0.267406E-01  -0.196945E-01   0.126930E+04   0.237618E+06   0.238692E+06   0.237618E+06  -0.561159E-02   0.124857E+06   0.124840E+06   0.970345E-02
   0.558694E+00   0.235291E+06   0.234100E+06   0.258338E-01  -0.190267E-01   0.122830E+04   0.234045E+06   0.235103E+06   0.234045E+06  -0.552720E-02   0.122979E+06   0.122963E+06   0.946974E-02
   0.564072E+00   0.231794E+06   0.230621E+06   0.249668E-01  -0.183882E-01   0.118903E+04   0.230566E+06   0.231609E+06   0.230566E+06  -0.544506E-02   0.121151E+06   0.121136E+06   0.924122E-02
   0.569450E+00   0.228387E+06   0.227231E+06   0.241373E-01  -0.177773E-01   0.115137E+04   0.227177E+06   0.228204E+06   0.227177E+06  -0.536502E-02   0.119371E+06   0.119355E+06   0.901817E-02
   0.574829E+00   0.225065E+06   0.223926E+06   0.233431E-01  -0.171924E-01   0.111525E+04   0.223873E+06   0.224885E+06   0.223873E+06  -0.528698E-02   0.117634E+06   0.117619E+06   0.880127E-02
   0.590324E+00   0.215923E+06   0.214833E+06   0.212347E-01  -0.156397E-01   0.101897E+04   0.214780E+06   0.215751E+06   0.214780E+06  -0.507224E-02   0.112856E+06   0.112842E+06   0.821711E-02
   0.626091E+00   0.196817E+06   0.195822E+06   0.172072E-01  -0.126737E-01   0.833383E+03   0.195774E+06   0.196660E+06   0.195774E+06  -0.462340E-02   0.102870E+06   0.102857E+06   0.707737E-02
   0.664024E+00   0.179358E+06   0.178452E+06   0.139403E-01  -0.102677E-01   0.681041E+03   0.178408E+06   0.179215E+06   0.178408E+06  -0.421327E-02   0.937447E+05   0.937326E+05   0.608567E-02
   0.926721E+00   0.105037E+06   0.104507E+06   0.419131E-02  -0.308730E-02   0.212997E+03   0.104479E+06   0.104953E+06   0.104479E+06  -0.246739E-02   0.548993E+05   0.548921E+05   0.258438E-02
   0.129334E+01   0.607526E+05   0.604457E+05   0.124461E-02  -0.916813E-03   0.649122E+02   0.604298E+05   0.607041E+05   0.604298E+05  -0.142711E-02   0.317533E+05   0.317490E+05   0.109628E-02
   0.180501E+01   0.347650E+05   0.345892E+05   0.365654E-03  -0.269361E-03   0.193832E+02   0.345802E+05   0.347372E+05   0.345802E+05  -0.816646E-03   0.181704E+05   0.181679E+05   0.469883E-03
   0.251909E+01   0.197120E+05   0.196121E+05   0.106442E-03  -0.784148E-04   0.569754E+01   0.196072E+05   0.196962E+05   0.196072E+05  -0.463043E-03   0.103028E+05   0.103012E+05   0.207099E-03
