#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42    0.12326E+04    0.14121E+01   -0.84792E-05    0.14121E+01    0.66570E-01   -0.19074E-07   -0.84792E-05   -0.19074E-07    0.10194E-09
    43    0.12516E+04    0.13191E+01   -0.85392E-05    0.13191E+01    0.71987E-01   -0.16109E-07   -0.85392E-05   -0.16109E-07    0.97072E-10
    44    0.12706E+04    0.12136E+01   -0.85786E-05    0.12136E+01    0.77668E-01   -0.13887E-07   -0.85786E-05   -0.13887E-07    0.92515E-10
    45    0.12900E+04    0.10937E+01   -0.85972E-05    0.10937E+01    0.83609E-01   -0.13125E-07   -0.85972E-05   -0.13125E-07    0.88243E-10
    46    0.13096E+04    0.95661E+00   -0.85952E-05    0.95661E+00    0.89807E-01   -0.14292E-07   -0.85952E-05   -0.14292E-07    0.84230E-10
    47    0.13293E+04    0.80395E+00   -0.85759E-05    0.80395E+00    0.96263E-01   -0.16870E-07   -0.85759E-05   -0.16870E-07    0.80457E-10
    48    0.13491E+04    0.64126E+00   -0.85431E-05    0.64126E+00    0.10299E+00   -0.20094E-07   -0.85431E-05   -0.20094E-07    0.76909E-10
    49    0.13690E+04    0.47347E+00   -0.85008E-05    0.47347E+00    0.10996E+00   -0.23200E-07   -0.85008E-05   -0.23200E-07    0.73569E-10
    50    0.13894E+04    0.29874E+00   -0.84529E-05    0.29874E+00    0.11717E+00   -0.25423E-07   -0.84529E-05   -0.25423E-07    0.70421E-10
    51    0.14099E+04    0.11339E+00   -0.84023E-05    0.11339E+00    0.12459E+00   -0.26196E-07   -0.84023E-05   -0.26196E-07    0.67449E-10
    52    0.14308E+04   -0.87829E-01   -0.83472E-05   -0.87829E-01    0.13229E+00   -0.25740E-07   -0.83472E-05   -0.25740E-07    0.64642E-10
    53    0.14517E+04   -0.30874E+00   -0.82849E-05   -0.30874E+00    0.14043E+00   -0.24476E-07   -0.82849E-05   -0.24476E-07    0.61990E-10
    54    0.14725E+04   -0.54518E+00   -0.82126E-05   -0.54518E+00    0.14899E+00   -0.22822E-07   -0.82126E-05   -0.22822E-07    0.59482E-10
    55    0.14935E+04   -0.79290E+00   -0.81277E-05   -0.79290E+00    0.15794E+00   -0.21199E-07   -0.81277E-05   -0.21199E-07    0.57107E-10
    56    0.15147E+04   -0.10537E+01   -0.80285E-05   -0.10537E+01    0.16715E+00   -0.19935E-07   -0.80285E-05   -0.19935E-07    0.54855E-10
    57    0.15363E+04   -0.13272E+01   -0.79182E-05   -0.13272E+01    0.17651E+00   -0.18989E-07   -0.79182E-05   -0.18989E-07    0.52720E-10
    58    0.15581E+04   -0.16140E+01   -0.78009E-05   -0.16140E+01    0.18602E+00   -0.18233E-07   -0.78009E-05   -0.18233E-07    0.50693E-10
    59    0.15801E+04   -0.19146E+01   -0.76809E-05   -0.19146E+01    0.19572E+00   -0.17536E-07   -0.76809E-05   -0.17536E-07    0.48769E-10
    60    0.16023E+04   -0.22278E+01   -0.75625E-05   -0.22278E+01    0.20568E+00   -0.16768E-07   -0.75625E-05   -0.16768E-07    0.46939E-10
    61    0.16249E+04   -0.25527E+01   -0.74490E-05   -0.25527E+01    0.21598E+00   -0.15840E-07   -0.74490E-05   -0.15840E-07    0.45199E-10
    62    0.16474E+04   -0.28902E+01   -0.73402E-05   -0.28902E+01    0.22661E+00   -0.14837E-07   -0.73402E-05   -0.14837E-07    0.43542E-10
